,Film,Eigenvector Centrality,Country,tconst,Year
99,Tarzan and the Golden Lion (1927),5.428927973317778e-07,USA,tt0018464,1927
100,Charlie Chan at the Wax Museum (1940),4.4127572026350854e-07,USA,tt0032324,1940
101,Sora no daikaijû Radon (1956),3.538215433900721e-07,Japan,tt0049782,1956
102,The Invisible Man (1933),3.0651566256454064e-07,USA,tt0024184,1933
103,The Showdown (1940),3.023550309396188e-07,USA,tt0033047,1940
104,Jinx Money (1948),2.944987014328707e-07,USA,tt0040489,1948
105,Call the Mesquiteers (1938),2.8653266287262227e-07,USA,tt0029962,1938
106,Zoku hesokuri shacho (1956),2.865326616729297e-07,Japan,tt0298615,1956
107,Otoko wa tsurai yo: Torajiro yumemakura (1972),2.865326616728325e-07,Japan,tt0069052,1972
108,Swedish Erotica 24 (1981),2.865326616728324e-07,USA,tt0222422,1981
109,Tarzan the Mighty (1928),2.793717748289749e-07,USA,tt0019447,1928
110,Murder Over New York (1940),2.2422549610782225e-07,USA,tt0032819,1940
111,A Family Affair (1937),1.955809696922051e-07,USA,tt0028850,1937
112,Mosura (1961),1.7442000336191757e-07,Japan,tt0055198,1961
113,Bride of Frankenstein (1935),1.5598345763956646e-07,USA,tt0026138,1935
114,Tarzan the Ape Man (1932),1.4480773571971916e-07,USA,tt0023551,1932
115,Tarzan the Tiger (1929),1.4274485889220907e-07,USA,tt0020481,1929
116,Shadow of a Doubt (1943),1.3726304388050782e-07,USA,tt0036342,1943
117,Hidden Gold (1940),1.361294096027361e-07,USA,tt0032592,1940
118,Psycho (1960),1.3546133609494675e-07,USA,tt0054215,1960
119,Smugglers' Cove (1948),1.3158209702522417e-07,USA,tt0040805,1948
120,Touch of Evil (1958),1.3123003855017278e-07,USA,tt0052311,1958
121,Outlaws of Sonora (1938),1.2809695498638655e-07,USA,tt0030538,1938
122,Harikiri shacho (1956),1.2809695463022796e-07,Japan,tt0298357,1956
123,Otoko wa tsurai yo: Torajiro wasurenagusa (1973),1.2809695463020755e-07,Japan,tt0070495,1973
124,Swedish Erotica 25 (1981),1.280969546302075e-07,USA,tt0224192,1981
125,The Merry Widow (1934),1.2790165991537653e-07,USA,tt0025493,1934
126,Dead Men Tell (1941),1.1285419292034653e-07,USA,tt0033519,1941
127,Creature from the Black Lagoon (1954),1.0464264794989613e-07,USA,tt0046876,1954
128,The Birth of a Nation (1915),1.0398953253254563e-07,USA,tt0004972,1915
129,You're Only Young Once (1937),9.933491840988982e-08,USA,tt0030997,1937
130,Internes Can't Take Money (1937),9.657176715672255e-08,USA,tt0029050,1937
131,Daigaku no wakadaishô (1961),9.336777570831624e-08,Japan,tt0054783,1961
132,Kingu Kongu tai Gojira (1962),8.454482870926128e-08,"Japan,USA",tt13364334,1962
133,Dracula's Daughter (1936),7.811127004414699e-08,USA,tt0027545,1936
134,The Mummy (1932),7.762476886622006e-08,USA,tt0023245,1932
135,Stagecoach (1939),7.243197028865872e-08,USA,tt0031971,1939
136,Lolita (1962),7.012050321013807e-08,USA,tt0056193,1962
137,Spartacus (1960),6.393446278286778e-08,USA,tt0054331,1960
138,Paths of Glory (1957),6.33742738244326e-08,USA,tt0050825,1957
139,Stagecoach War (1940),6.174658963299698e-08,USA,tt0033099,1940
140,Wuthering Heights (1939),5.892981975574043e-08,USA,tt0032145,1939
141,Rebecca (1940),5.875848151338009e-08,USA,tt0032976,1940
142,Trouble Makers (1948),5.792359328876795e-08,USA,tt0040905,1948
143,The Pride and the Passion (1957),5.723747525809705e-08,USA,tt0050858,1957
144,Riders of the Black Hills (1938),5.642365868887882e-08,USA,tt0030681,1938
145,Oshaberi shacho (1957),5.64236585871192e-08,Japan,tt0298489,1957
146,Otoko wa tsurai yo: Watashi no tora-san (1973),5.6423658587115236e-08,Japan,tt0070496,1973
147,Swedish Erotica 29 (1981),5.6423658587115196e-08,USA,tt0224194,1981
148,All Quiet on the Western Front (1930),5.64063118926375e-08,USA,tt0020629,1930
149,Charlie Chan in Rio (1941),5.624661462858585e-08,USA,tt0033458,1941
150,Mystery of the Wax Museum (1933),5.452721123493517e-08,USA,tt0024368,1933
151,The Lost Patrol (1934),5.2391516862735755e-08,USA,tt0025423,1934
152,Greed (1924),5.16256407062198e-08,USA,tt0015881,1924
153,Young Dr. Kildare (1938),5.140237192137216e-08,USA,tt0031000,1938
154,Judge Hardy's Children (1938),5.01254671254955e-08,USA,tt0030295,1938
155,Citizen Kane (1941),4.945252511649198e-08,USA,tt0033467,1941
156,Beach Party (1963),4.913299107923741e-08,USA,tt0056860,1963
157,Mr. Smith Goes to Washington (1939),4.864544422852498e-08,USA,tt0031679,1939
158,The Grapes of Wrath (1940),4.8470995283038587e-08,USA,tt0032551,1940
159,Dead End (1937),4.846330344973745e-08,USA,tt0028773,1937
160,Kitty Foyle (1940),4.8462056901278074e-08,USA,tt0032671,1940
161,His Girl Friday (1940),4.846054050109738e-08,USA,tt0032599,1940
162,Intolerance: Love's Struggle Throughout the Ages (1916),4.845973956064574e-08,USA,tt0006864,1916
163,The Power and the Glory (1933),4.845973949054916e-08,USA,tt0024465,1933
164,Prison Train (1938),4.845973949054916e-08,USA,tt0030628,1938
165,The Sin of Nora Moran (1933),4.845973949054916e-08,USA,tt0024561,1933
166,A Man to Remember (1938),4.845973949054916e-08,USA,tt0030410,1938
167,Make Way for Tomorrow (1937),4.845973949054916e-08,USA,tt0029192,1937
168,The Long Voyage Home (1940),4.845973949054916e-08,USA,tt0032728,1940
169,Mad Love (1935),4.845973949054916e-08,USA,tt0026663,1935
170,Hop-a-Long Cassidy (1935),4.768862235835292e-08,USA,tt0026493,1935
171,Souls at Sea (1937),4.750324321921549e-08,USA,tt0029593,1937
172,Alice in Wonderland (1933),4.651642763206727e-08,USA,tt0023753,1933
173,The Haunted Palace (1963),4.592978801479462e-08,USA,tt0057128,1963
174,Son of Frankenstein (1939),4.5281546409366526e-08,USA,tt0031951,1939
175,Ginza no wakadaishô (1962),4.4366210268563736e-08,Japan,tt0203528,1962
176,Mosura tai Gojira (1964),4.1385461576906525e-08,Japan,tt0058379,1964
177,Snow White and the Seven Dwarfs (1937),3.846541575566925e-08,USA,tt0029583,1937
178,The Ten Commandments (1923),3.6769137204813695e-08,USA,tt0014532,1923
179,Cat People (1942),3.4516291348376286e-08,USA,tt0034587,1942
180,The Saint in New York (1938),2.9792379812656437e-08,USA,tt0030709,1938
181,The Broadway Melody (1929),2.8435174502115654e-08,USA,tt0019729,1929
182,Castle in the Desert (1942),2.775258342570586e-08,USA,tt0034586,1942
183,Three Men from Texas (1940),2.714587553579353e-08,USA,tt0033160,1940
184,Calling Dr. Kildare (1939),2.7077005744153143e-08,USA,tt0031133,1939
185,Underworld (1927),2.5952756761828797e-08,USA,tt0018526,1927
186,Muscle Beach Party (1964),2.590234203808125e-08,USA,tt0058384,1964
187,Sadie McKee (1934),2.5896838091093753e-08,USA,tt0025740,1934
188,Carefree (1938),2.5202079875211297e-08,USA,tt0029971,1938
189,Love Finds Andy Hardy (1938),2.5138425430155494e-08,USA,tt0030386,1938
190,Fighting Fools (1949),2.5107499916658385e-08,USA,tt0041360,1949
191,The Wizard of Oz (1939),2.5101840635514177e-08,USA,tt0032138,1939
192,The Wizard of Oz (1925),2.4950380540654407e-08,USA,tt0016544,1925
193,The Poor Little Rich Girl (1917),2.4948853696362015e-08,USA,tt0008443,1917
194,Sh! The Octopus (1937),2.4948853696362015e-08,USA,tt0029541,1937
195,Blood Feast (1963),2.480672866095183e-08,USA,tt0056875,1963
196,The Seventh Victim (1943),2.4650671945312524e-08,USA,tt0036341,1943
197,Suspicion (1941),2.4647650772223286e-08,USA,tt0034248,1941
198,Heroes of the Hills (1938),2.447291218616938e-08,USA,tt0030230,1938
199,Shachô sandaiki (1958),2.4472912158267562e-08,Japan,tt0298547,1958
200,Swedish Erotica 30 (1981),2.447291215826685e-08,USA,tt0224195,1981
201,Otoko wa tsurai yo: Torajiro koiyatsure (1974),2.447291215826684e-08,Japan,tt0071954,1974
202,"His Majesty, the Scarecrow of Oz (1914)",2.439438241646644e-08,USA,tt0004099,1914
203,The Bat Whispers (1930),2.4392003866367105e-08,USA,tt0020668,1930
204,The Gorilla (1927),2.4392003866209696e-08,USA,tt0021923,1927
205,The Gorilla (1930),2.4392003866209696e-08,USA,tt0021923,1930
206,The Collector (1965),2.3626585339378326e-08,USA,tt0059043,1965
207,Little Caesar (1931),2.354438694382037e-08,USA,tt0021079,1931
208,The Patchwork Girl of Oz (1914),2.3402771421247958e-08,USA,tt0004457,1914
209,"Godzilla, King of the Monsters! (1956)",2.3255241297576994e-08,"USA,Japan",tt0197521,1956
210,Ben-Hur (1959),2.3154494770610374e-08,USA,tt0052618,1959
211,The Baron of Arizona (1950),2.2394004628207934e-08,USA,tt0042229,1950
212,Quo Vadis (1951),2.2282068806737945e-08,USA,tt0043949,1951
213,Johnny Guitar (1954),2.2250930954736415e-08,USA,tt0047136,1954
214,The Sign of the Cross (1932),2.225036623779917e-08,USA,tt0023470,1932
215,Nihon ichi no wakadaishô (1962),2.2056101671205304e-08,Japan,tt0313404,1962
216,Scarface (1932),2.2019310205199333e-08,USA,tt0023427,1932
217,Fort Apache (1948),2.1549824452395914e-08,USA,tt0040369,1948
218,Oklahoma! (1955),2.1448479967479175e-08,USA,tt0048445,1955
219,She Wore a Yellow Ribbon (1949),2.1425923568786712e-08,USA,tt0041866,1949
220,The Eagle's Brood (1935),2.1408734240239847e-08,USA,tt0026303,1935
221,Rosemary's Baby (1968),2.131570969394152e-08,USA,tt0063522,1968
222,San Francisco (1936),2.1123667917388044e-08,USA,tt0028216,1936
223,The Searchers (1956),2.099959036243685e-08,USA,tt0049730,1956
224,The Sandpiper (1965),2.0920261693017213e-08,USA,tt0059674,1965
225,Lover Come Back (1961),2.0920261692827325e-08,USA,tt0055100,1961
226,The Happiest Millionaire (1967),2.0920261692827312e-08,USA,tt0061749,1967
227,Singin' in the Rain (1952),2.0840926635843083e-08,USA,tt0045152,1952
228,Yankee Doodle Dandy (1942),2.0544846054398554e-08,USA,tt0035575,1942
229,Rear Window (1954),2.0505523703764986e-08,USA,tt0047396,1954
230,The Jazz Singer (1927),2.050242117983058e-08,USA,tt0018037,1927
231,The Hollywood Revue of 1929 (1929),2.047791871527914e-08,USA,tt0019993,1929
232,Going Hollywood (1933),2.047755048419393e-08,USA,tt0024067,1933
233,His Glorious Night (1929),2.047755048419393e-08,USA,tt0019988,1929
234,Lovey Mary (1926),2.047755048419393e-08,USA,tt0017088,1926
235,The Three Musketeers (1948),2.047755048419393e-08,USA,tt0040876,1948
236,There You Are! (1926),2.047755048419393e-08,USA,tt0017460,1926
237,Little Nellie Kelly (1940),2.0326878741366177e-08,USA,tt0032718,1940
238,Disraeli (1921),2.0326878741366177e-08,USA,tt0012111,1921
239,Ah Wilderness! (1935),2.0326878741366177e-08,USA,tt0026046,1935
240,The Dawn Patrol (1938),2.0321355724717126e-08,USA,tt0030044,1938
241,Twelve O'Clock High (1949),2.0223921252201824e-08,USA,tt0041996,1949
242,A Place in the Sun (1951),2.020294975025811e-08,USA,tt0043924,1951
243,"Captain Carey, U.S.A. (1950)",2.0163747063389232e-08,USA,tt0042310,1950
244,The Dawn Patrol (1930),2.0089510096974608e-08,USA,tt0020815,1930
245,When Worlds Collide (1951),1.984711952346695e-08,USA,tt0044207,1951
246,London After Midnight (1927),1.9840877315539638e-08,USA,tt0018097,1927
247,Sunrise: A Song of Two Humans (1927),1.9631730198993887e-08,USA,tt0018455,1927
248,Invasion of the Body Snatchers (1956),1.9487544545066293e-08,USA,tt0049366,1956
249,San daikaijû: Chikyû saidai no kessen (1964),1.9463091003583872e-08,Japan,tt0058544,1964
250,The King of Kings (1927),1.8763517286405844e-08,USA,tt0018054,1927
251,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),1.8673047242104108e-08,USA,tt0057012,1964
252,Samson and Delilah (1949),1.855702312203512e-08,USA,tt0041838,1949
253,Gone with the Wind (1939),1.7940037907646273e-08,USA,tt0031381,1939
254,The General (1926),1.648605385213784e-08,USA,tt0017925,1926
255,The Wild One (1953),1.620711688514867e-08,USA,tt0047677,1953
256,Casablanca (1942),1.480455335825794e-08,USA,tt0034583,1942
257,Algiers (1938),1.4612084715782809e-08,USA,tt0029855,1938
258,The Circus (1928),1.4612084715779753e-08,USA,tt0018773,1928
259,Five Star Final (1931),1.4612084715779738e-08,USA,tt0021873,1931
260,The Secret of Dr. Kildare (1939),1.4286372425809977e-08,USA,tt0031909,1939
261,Buck Rogers (1939),1.4026637397466393e-08,USA,tt0032290,1939
262,Bikini Beach (1964),1.36112758897024e-08,USA,tt0057887,1964
263,Charlie Chan in the Secret Service (1944),1.3552349275085398e-08,USA,tt0036706,1944
264,The Day the Earth Stood Still (1951),1.3105280794287402e-08,USA,tt0043456,1951
265,The Invisible Man Returns (1940),1.3074653855187902e-08,USA,tt0032635,1940
266,My Darling Clementine (1946),1.2970722023227329e-08,USA,tt0038762,1946
267,Lady in a Cage (1964),1.2910503800772997e-08,USA,tt0058283,1964
268,Two Thousand Maniacs! (1964),1.2848188264346819e-08,USA,tt0058694,1964
269,The Phantom of the Opera (1925),1.2710621611293524e-08,USA,tt0016220,1925
270,Out West with the Hardys (1938),1.2518027837088991e-08,USA,tt0030535,1938
271,Mutiny on the Bounty (1935),1.2363469971280511e-08,USA,tt0026752,1935
272,I Was a Teenage Werewolf (1957),1.2291064104044905e-08,USA,tt0050530,1957
273,The Bridge on the River Kwai (1957),1.0940327677029865e-08,USA,tt0050212,1957
274,The War of the Worlds (1953),1.0880294148297556e-08,USA,tt0046534,1953
275,Rocketship X-M (1950),1.0868441138254832e-08,USA,tt0042897,1950
276,Hawai no wakadaishô (1963),1.0868320186973521e-08,Japan,tt0057705,1963
277,Hold That Baby! (1949),1.0709479972212306e-08,USA,tt0041472,1949
278,Bringing Up Baby (1938),1.0671530713979027e-08,USA,tt0029947,1938
279,Laura (1944),1.0581963099113765e-08,USA,tt0037008,1944
280,Doomed Caravan (1941),1.0516443273769395e-08,USA,tt0033546,1941
281,Pals of the Saddle (1938),1.0445755196822762e-08,USA,tt0030550,1938
282,Zoku shachô sandaiki (1958),1.0445755189504252e-08,Japan,tt0314955,1958
283,Swedish Erotica 31 (1981),1.0445755189504136e-08,USA,tt0224196,1981
284,Otoko wa tsurai yo: Torajiro komoriuta (1974),1.0445755189504136e-08,Japan,tt0071955,1974
285,The Awful Truth (1937),1.033023483662605e-08,USA,tt0028597,1937
286,The Gold Diggers (1923),1.0311782650146973e-08,USA,tt0014090,1923
287,Earth vs. the Flying Saucers (1956),1.0201013512366624e-08,USA,tt0049169,1956
288,It! The Terror from Beyond Space (1958),1.017608364123146e-08,USA,tt0051786,1958
289,Here Come the Girls (1953),1.0168009380160124e-08,USA,tt0045866,1953
290,Conquest of Space (1955),9.99581672507504e-09,USA,tt0047947,1955
291,The Birds (1963),9.826422626076793e-09,USA,tt0056869,1963
292,Invisible Invaders (1959),9.821877105369659e-09,USA,tt0052929,1959
293,Part Time Wife (1930),9.790584878722949e-09,USA,tt0021237,1930
294,2001: A Space Odyssey (1968),9.724205286364254e-09,USA,tt0062622,1968
295,Arsenic and Old Lace (1944),9.717304075817196e-09,USA,tt0036613,1944
296,Zombies of Mora Tau (1957),9.711298518818855e-09,USA,tt0051226,1957
297,Night of the Living Dead (1968),9.703620391959186e-09,USA,tt0063350,1968
298,Thunder Road (1958),9.701647566718378e-09,USA,tt0052293,1958
299,Carnival of Souls (1962),9.678969179041035e-09,USA,tt0055830,1962
300,The Killer Shrews (1959),9.678575488939514e-09,USA,tt0052969,1959
301,The Hideous Sun Demon (1959),9.678575488939514e-09,USA,tt0052888,1959
302,The Last Man on Earth (1964),9.678409358022833e-09,USA,tt0058700,1964
303,Revolt of the Zombies (1936),9.678409352442674e-09,USA,tt0028174,1936
304,White Zombie (1932),9.540107329142477e-09,USA,tt0023694,1932
305,Bar 20 Rides Again (1935),9.465975148098972e-09,USA,tt0027332,1935
306,House of Wax (1953),9.464976531167067e-09,USA,tt0045888,1953
307,Kaijû daisensô (1965),9.256866295215887e-09,"Japan,USA",tt0059346,1965
308,Play Misty for Me (1971),9.065000546412379e-09,USA,tt0067588,1971
309,Shichinin no samurai (1954),9.022412744326176e-09,Japan,tt0047478,1954
310,From Here to Eternity (1953),8.322229843940715e-09,USA,tt0045793,1953
311,Just Imagine (1930),7.80405497182126e-09,USA,tt0021016,1930
312,Dumbo (1941),7.745003317649783e-09,USA,tt0033563,1941
313,The Enforcer (1951),7.602543164661814e-09,USA,tt0043503,1951
314,Vertigo (1958),7.5916913758596e-09,USA,tt0052357,1958
315,Dr. Kildare's Strange Case (1940),7.515232320184573e-09,USA,tt0032416,1940
316,The Exorcist (1973),7.463675967398323e-09,USA,tt0070047,1973
317,The Tragedy of Othello: The Moor of Venice (1951),7.37816716876176e-09,USA,tt0045251,1951
318,Onibaba (1964),7.378162668071456e-09,Japan,tt0058430,1964
319,Body and Soul (1947),7.378162484390527e-09,USA,tt0039204,1947
320,Pajama Party (1964),7.1088331393336176e-09,USA,tt0058440,1964
321,Sunset Blvd. (1950),6.987240319341082e-09,USA,tt0043014,1950
322,A Bucket of Blood (1959),6.869441802502048e-09,USA,tt0052655,1959
323,The Paleface (1948),6.833403424682179e-09,USA,tt0040679,1948
324,Sadie Thompson (1928),6.833403424681232e-09,USA,tt0019344,1928
325,Queen Kelly (1929),6.833403424681232e-09,USA,tt0020298,1929
326,The Student Prince in Old Heidelberg (1927),6.833403424681232e-09,USA,tt0018451,1927
327,Color Me Blood Red (1965),6.772326544312588e-09,USA,tt0059044,1965
328,North by Northwest (1959),6.680298907150414e-09,USA,tt0053125,1959
329,Ziegfeld Follies (1945),6.644067270654572e-09,USA,tt0039116,1945
330,Thirty Seconds Over Tokyo (1944),6.58825050502826e-09,USA,tt0037366,1944
331,Charlie Chan in The Chinese Cat (1944),6.547844877307086e-09,USA,tt0036709,1944
332,The Virginian (1929),6.527122407185448e-09,USA,tt0020556,1929
333,Cover Girl (1944),6.5221262886775015e-09,USA,tt0036723,1944
334,Ride the Wild Surf (1964),6.5024427503687825e-09,USA,tt0058523,1964
335,The Invisible Woman (1940),6.502020059864304e-09,USA,tt0032637,1940
336,Frenzy (1972),6.4737919094198365e-09,USA,tt0218980,1972
337,Vanishing Point (1971),6.35495627529439e-09,USA,tt0067927,1971
338,Kaleidoscope (1967),6.354956275290198e-09,USA,tt6914094,1967
339,I'm No Angel (1933),6.354956275290198e-09,USA,tt0024166,1933
340,I Drink Your Blood (1970),6.3393261488535735e-09,USA,tt0067229,1970
341,Guess Who's Coming to Dinner (1967),6.281121233966851e-09,USA,tt0061735,1967
342,Harvey (1950),6.226442033351258e-09,USA,tt0042546,1950
343,The Hardys Ride High (1939),6.20126321478518e-09,USA,tt0031403,1939
344,King Solomon's Mines (1950),6.196053827548484e-09,USA,tt0042646,1950
345,A Clockwork Orange (1971),6.150463698041947e-09,USA,tt0066921,1971
346,The Defiant Ones (1958),6.147781817746736e-09,USA,tt0051525,1958
347,Bara no sôretsu (1969),6.1353022989681505e-09,Japan,tt0064068,1969
348,Tanin no kao (1966),6.049947716414529e-09,Japan,tt0061065,1966
349,The Barefoot Contessa (1954),6.0003433019689945e-09,USA,tt0046754,1954
350,Desk Set (1957),5.965782328312685e-09,USA,tt0050307,1957
351,Flash Gordon (1936),5.880644544960121e-09,USA,tt0027623,1936
352,The Wolf Man (1941),5.870888092054015e-09,USA,tt0034398,1941
353,Strangers on a Train (1951),5.860002776096089e-09,USA,tt0044079,1951
354,The Last House on the Left (1972),5.856247960668613e-09,USA,tt0068833,1972
355,The Bad and the Beautiful (1952),5.8203617277591446e-09,USA,tt0044391,1952
356,Tarzan Goes to India (1962),5.820262513164794e-09,USA,tt0056560,1962
357,The Strawberry Blonde (1941),5.808418284052952e-09,USA,tt0034236,1941
358,Kiss Me Deadly (1955),5.730977853847746e-09,USA,tt0048261,1955
