,Film,Betweenness Centrality,Country,tconst,Year
165,Friday the 13th (1980),8.128348873537045e-05,USA,tt0080761,1980
166,WALL·E (2008),8.118584405916768e-05,USA,tt0910970,2008
167,Twins (1988),8.113168710928578e-05,USA,tt0096320,1988
168,The Toxic Avenger Part III: The Last Temptation of Toxie (1989),8.07691789624718e-05,USA,tt0098502,1989
169,Kill Bill: Vol. 2 (2004),8.065756607387866e-05,USA,tt0378194,2004
170,Cellar Dweller (1988),7.98012184039766e-05,USA,tt0094850,1988
171,Ed Wood (1994),7.978681926168379e-05,USA,tt0109707,1994
172,This Is Spinal Tap (1984),7.92853545787119e-05,USA,tt0088258,1984
173,Friday the 13th Part III (1982),7.889720397184737e-05,USA,tt0083972,1982
174,Who Framed Roger Rabbit (1988),7.877152560585677e-05,USA,tt0096438,1988
175,Cape Fear (1991),7.868139272985711e-05,USA,tt0101540,1991
176,Broadway Melody of 1940 (1940),7.867205597467972e-05,USA,tt0032284,1940
177,Wo hu cang long (2000),7.79329369384474e-05,"Taiwan,Hong Kong,USA,China",tt0190332,2000
178,The Nightmare Before Christmas (1993),7.764187326335639e-05,USA,tt0107688,1993
179,Grease (1978),7.741183787849053e-05,USA,tt0077631,1978
180,I Am Legend (2007),7.731008251155934e-05,USA,tt0480249,2007
181,Beetlejuice (1988),7.711691160192348e-05,USA,tt0094721,1988
182,Jackie Brown (1997),7.7026135393886e-05,USA,tt0119396,1997
183,Fright Night (1985),7.660408595357226e-05,USA,tt0089175,1985
184,Toy Story (1995),7.63851753886477e-05,USA,tt0114709,1995
185,The Naked Gun: From the Files of Police Squad! (1988),7.626800339320229e-05,USA,tt0095705,1988
186,Billy Jack (1971),7.607631697193218e-05,USA,tt0066832,1971
187,Team America: World Police (2004),7.56868978351723e-05,USA,tt0372588,2004
188,Death Proof (2007),7.552440031433709e-05,USA,tt1028528,2007
189,Jurassic Park (1993),7.414714624863832e-05,USA,tt0107290,1993
190,Parenthood (1989),7.377787275308692e-05,USA,tt0098067,1989
191,Vanilla Sky (2001),7.362810331547531e-05,USA,tt0259711,2001
192,Raising Arizona (1987),7.280436244371277e-05,USA,tt0093822,1987
193,Charlie Chan and the Curse of the Dragon Queen (1981),7.257998907786059e-05,USA,tt0082159,1981
194,Cars (2006),7.248247844922738e-05,USA,tt0317219,2006
195,RoboCop (1987),7.213356822896062e-05,USA,tt0093870,1987
196,Blow Out (1981),7.203897806841604e-05,USA,tt0082085,1981
197,48 Hrs. (1982),7.110023420094314e-05,USA,tt0083511,1982
198,The Bells of St. Mary's (1945),7.055974037654275e-05,USA,tt0037536,1945
199,Jerry Maguire (1996),7.053323108491814e-05,USA,tt0116695,1996
200,The Devil Wears Prada (2006),6.843092430051166e-05,USA,tt0458352,2006
201,Tarzan the Ape Man (1932),6.83729477097767e-05,USA,tt0023551,1932
202,Rugrats in Paris: The Movie - Rugrats II (2000),6.833045968846e-05,USA,tt0213203,2000
203,Total Recall (1990),6.808962658922471e-05,USA,tt0100802,1990
204,North by Northwest (1959),6.801416174007912e-05,USA,tt0053125,1959
205,A Nightmare on Elm Street 4: The Dream Master (1988),6.7860772299069e-05,USA,tt0095742,1988
206,Sin City (2005),6.776227276110651e-05,USA,tt0401792,2005
207,"Me, Myself & Irene (2000)",6.748735073035834e-05,USA,tt0183505,2000
208,The Stepford Wives (1975),6.719791062375487e-05,USA,tt0073747,1975
209,Dogma (1999),6.552423156045797e-05,USA,tt0120655,1999
210,The Born Losers (1967),6.527708059274155e-05,USA,tt0061420,1967
211,Flashdance (1983),6.523478579875925e-05,USA,tt0085549,1983
212,A Knight's Tale (2001),6.501455245223824e-05,USA,tt0183790,2001
213,Army of Darkness (1992),6.499918324871002e-05,USA,tt0106308,1992
214,Spider-Man 3 (2007),6.465301201342588e-05,USA,tt0413300,2007
215,Going My Way (1944),6.460348580775251e-05,USA,tt0036872,1944
216,American Pie (1999),6.459552229849788e-05,USA,tt0163651,1999
217,The Dream Team (1989),6.42256460455361e-05,USA,tt0097235,1989
218,The Fly (1986),6.408458756001619e-05,USA,tt0091064,1986
219,The Game (1997),6.396638195451168e-05,USA,tt16673588,1997
220,Rushmore (1998),6.341790358665306e-05,USA,tt0128445,1998
221,V for Vendetta (2005),6.280974915575157e-05,USA,tt0434409,2005
222,Full Metal Jacket (1987),6.269461203567029e-05,USA,tt0093058,1987
223,Beach Blanket Bingo (1965),6.252409310895196e-05,USA,tt0058953,1965
224,From Beyond (1986),6.251543439242479e-05,USA,tt0091083,1986
225,Home Alone (1990),6.24635500566249e-05,USA,tt0099785,1990
226,Saw (2004),6.203799101322044e-05,USA,tt0387564,2004
227,What Ever Happened to Baby Jane? (1962),6.18511749148689e-05,USA,tt0056687,1962
228,Goodfellas (1990),6.115612126766878e-05,USA,tt0099685,1990
229,The Return of the Pink Panther (1975),6.114786704248588e-05,USA,tt0072081,1975
230,The Rock (1996),6.104133162154408e-05,USA,tt0117500,1996
231,The Ghost in the Invisible Bikini (1966),6.0698528511063934e-05,USA,tt0060457,1966
232,The Legend of Lylah Clare (1968),6.060631891182704e-05,USA,tt0063219,1968
233,In Like Flint (1967),6.043625526754815e-05,USA,tt0061810,1967
234,Scary Movie 2 (2001),5.989735632796886e-05,USA,tt0257106,2001
235,The Kentucky Fried Movie (1977),5.9322229222738446e-05,USA,tt0076257,1977
236,Sunset Blvd. (1950),5.893271323856711e-05,USA,tt0043014,1950
237,Problem Child (1990),5.865893200772391e-05,USA,tt0100419,1990
238,Hot Fuzz (2007),5.82424002987827e-05,USA,tt0425112,2007
239,Twelve O'Clock High (1949),5.762899969606067e-05,USA,tt0041996,1949
240,Rosemary's Baby (1968),5.7447834188333644e-05,USA,tt0063522,1968
241,Killer's Kiss (1955),5.740016439060744e-05,USA,tt0048254,1955
242,Clue (1985),5.7389996395457484e-05,USA,tt0088930,1985
243,Ghost (1990),5.6967097048614464e-05,USA,tt0099653,1990
244,"Dude, Where's My Car? (2000)",5.68628243438164e-05,USA,tt0242423,2000
245,Die Hard with a Vengeance (1995),5.6675624285930644e-05,USA,tt0112864,1995
246,Bill & Ted's Excellent Adventure (1989),5.660259972347764e-05,USA,tt0096928,1989
247,The Courtship of Andy Hardy (1942),5.650986378823581e-05,USA,tt0034618,1942
248,Out of Sight (1998),5.641443149815178e-05,USA,tt0120780,1998
249,The Nine Lives of Fritz the Cat (1974),5.6084797265752305e-05,USA,tt0071913,1974
250,Spy Kids 2: Island of Lost Dreams (2002),5.587482814283972e-05,USA,tt0287717,2002
251,Pleasantville (1998),5.570015227630197e-05,USA,tt0120789,1998
252,Ice Age (2002),5.546193230041527e-05,USA,tt0268380,2002
253,Some Like It Hot (1959),5.544415921700867e-05,USA,tt0053291,1959
254,Requiem for a Dream (2000),5.5429034423258644e-05,USA,tt0180093,2000
255,Bruce Almighty (2003),5.527324571928106e-05,USA,tt0315327,2003
256,Sisters (1972),5.502816161695708e-05,USA,tt0070698,1972
257,Inglourious Basterds (2009),5.486327729324217e-05,USA,tt0361748,2009
258,Hackers (1995),5.4797848443524514e-05,USA,tt0113243,1995
259,City for Conquest (1940),5.459882669388523e-05,USA,tt0032342,1940
260,The Benchwarmers (2006),5.4351248973990786e-05,USA,tt0437863,2006
261,Not Another Teen Movie (2001),5.370019744817112e-05,USA,tt0277371,2001
262,Close Encounters of the Third Kind (1977),5.3351868082702636e-05,USA,tt0075860,1977
263,2001: A Space Odyssey (1968),5.3249420956664944e-05,USA,tt0062622,1968
264,Stryker's War (1985),5.293061516428861e-05,USA,tt0090093,1985
265,The Searchers (1956),5.2916841723019206e-05,USA,tt0049730,1956
266,Men in Black II (2002),5.277176539097316e-05,USA,tt0120912,2002
267,Hulk (2003),5.275092750511312e-05,USA,tt0286716,2003
268,Shark Tale (2004),5.2642861077713745e-05,USA,tt0307453,2004
269,Pink Flamingos (1972),5.2458746694794664e-05,USA,tt0069089,1972
270,Shanghai Noon (2000),5.245444211083889e-05,"USA,Hong Kong",tt0184894,2000
271,Recess: School's Out (2001),5.239369904546841e-05,USA,tt0265632,2001
272,Anchorman: The Legend of Ron Burgundy (2004),5.2217534123095896e-05,USA,tt0357413,2004
273,Re-Animator (1985),5.212772606195468e-05,USA,tt0089885,1985
274,Titanic (1997),5.1725416953278656e-05,USA,tt0120338,1997
275,Summer of '42 (1971),5.170191981471896e-05,USA,tt0067803,1971
276,Batman Returns (1992),5.162291361563691e-05,USA,tt0103776,1992
277,Toy Story 2 (1999),5.144401858249493e-05,USA,tt0120363,1999
278,Lost in Translation (2003),5.120157385044713e-05,"USA,Japan",tt0335266,2003
279,Chasing Amy (1997),5.090520776232632e-05,USA,tt0118842,1997
280,Paranormal Activity (2007),5.090234438770268e-05,USA,tt1179904,2007
281,Say Anything... (1989),5.069911359296673e-05,USA,tt0098258,1989
282,Teenage Mutant Ninja Turtles (1990),5.053515411272213e-05,"USA,Hong Kong",tt0100758,1990
283,Mou gaan dou (2002),5.021121423955979e-05,Hong Kong,tt0338564,2002
284,Ernest Scared Stupid (1991),5.009408867087991e-05,USA,tt0101821,1991
285,The Hudsucker Proxy (1994),5.007452191270775e-05,USA,tt0110074,1994
286,Dirty Harry (1971),5.006761465526344e-05,USA,tt0066999,1971
287,Mars Attacks! (1996),5.006451208768873e-05,USA,tt0116996,1996
288,Akira (1988),5.0019968167961956e-05,Japan,tt0094625,1988
289,Mean Girls (2004),4.978663019364505e-05,USA,tt0377092,2004
290,Day of the Woman (1978),4.9684157055252254e-05,USA,tt0077713,1978
291,Jaws (1975),4.9565234014677316e-05,USA,tt0073195,1975
292,Jay and Silent Bob Strike Back (2001),4.897680833252213e-05,USA,tt0261392,2001
293,The Producers (1967),4.895061193844007e-05,USA,tt0063462,1967
294,Short Cuts (1993),4.8817177783392836e-05,USA,tt0108122,1993
295,Mallrats (1995),4.8465248740582864e-05,USA,tt0113749,1995
296,Mean Streets (1973),4.8211663558617365e-05,USA,tt0070379,1973
297,Sherlock Jr. (1924),4.8187516941761415e-05,USA,tt0015324,1924
298,The Dark Knight Rises (2012),4.768771664571991e-05,USA,tt1345836,2012
299,Iron Man (2008),4.768223688285131e-05,USA,tt0371746,2008
300,Blade (1998),4.766585053904395e-05,USA,tt0120611,1998
301,Carrie (1976),4.7326353907063886e-05,USA,tt0074285,1976
302,The Shawshank Redemption (1994),4.7190931115196685e-05,USA,tt0111161,1994
303,Old School (2003),4.6881974457147813e-05,USA,tt0302886,2003
304,Eight Legged Freaks (2002),4.6704550539555796e-05,USA,tt0271367,2002
305,The Exorcist (1973),4.603254627479393e-05,USA,tt0070047,1973
306,The Bourne Identity (2002),4.591257278425013e-05,USA,tt0258463,2002
307,This Is Elvis (1981),4.53542270954304e-05,USA,tt0083193,1981
308,Mystery Train (1989),4.5060144199167715e-05,"USA,Japan",tt0097940,1989
309,Die Hard (1988),4.478052504505134e-05,USA,tt0095016,1988
310,The Butterfly Effect (2004),4.4714822980465635e-05,USA,tt0289879,2004
311,Hot Shots! (1991),4.464641462032422e-05,USA,tt0102059,1991
312,JFK (1991),4.455842172655176e-05,USA,tt0102138,1991
313,Harry Potter and the Chamber of Secrets (2002),4.453193658356974e-05,USA,tt0295297,2002
314,TRON (1982),4.427209617054933e-05,USA,tt0084827,1982
315,Cowboy Bebop: Tengoku no tobira (2001),4.410889041439749e-05,"Japan,USA",tt0275277,2001
316,21 (2008),4.383749375763482e-05,USA,tt0478087,2008
317,Ghost Town (1988),4.3692183845688464e-05,USA,tt0095215,1988
318,Beverly Hills Cop (1984),4.3604100591549106e-05,USA,tt0086960,1984
319,Lethal Weapon 2 (1989),4.34743851121226e-05,USA,tt0097733,1989
320,Dumb and Dumber (1994),4.3208161684349296e-05,USA,tt0109686,1994
321,Annie Hall (1977),4.307393082710447e-05,USA,tt0075686,1977
322,Hellbound: Hellraiser II (1988),4.286825485993221e-05,USA,tt0095294,1988
323,Barfly (1987),4.2852394835453235e-05,USA,tt0092618,1987
324,Mission: Impossible (1996),4.28228490172212e-05,USA,tt0117060,1996
325,Into the Night (1985),4.281576787651404e-05,USA,tt0089346,1985
326,Stand by Me (1986),4.2760204422894645e-05,USA,tt0092005,1986
327,Being There (1979),4.241530947029038e-05,USA,tt0078841,1979
328,"O Brother, Where Art Thou? (2000)",4.1985965485403084e-05,USA,tt0190590,2000
329,Grindhouse (2007),4.188655282343154e-05,USA,tt0462322,2007
330,Training Day (2001),4.183650266981191e-05,USA,tt0139654,2001
331,The Sweetest Thing (2002),4.174927413318472e-05,USA,tt0253867,2002
332,Back to the Future Part III (1990),4.1700280999667806e-05,USA,tt0099088,1990
333,The Cable Guy (1996),4.164601796332884e-05,USA,tt0115798,1996
334,Gypsy (1962),4.158473003119905e-05,USA,tt0056048,1962
335,xXx (2002),4.101615652159529e-05,USA,tt0295701,2002
336,"Gojira, Mosura, Kingu Gidorâ: Daikaijû sôkôgeki (2001)",4.098971377901261e-05,Japan,tt0279112,2001
337,Kairyu daikessen (1966),4.089821314591859e-05,Japan,tt0060579,1966
338,Donnie Darko (2001),4.084934416273562e-05,USA,tt0246578,2001
339,"What's Up, Doc? (1972)",4.077077628349418e-05,USA,tt0069495,1972
340,Kôkaku Kidôtai (1995),4.024332558999722e-05,Japan,tt0113568,1995
341,Calling Dr. Gillespie (1942),4.022977659191305e-05,USA,tt0034570,1942
342,Mission: Impossible II (2000),4.0179745210601096e-05,USA,tt0120755,2000
343,Back to the Future Part II (1989),3.996931381661624e-05,USA,tt0096874,1989
344,Fear and Loathing in Las Vegas (1998),3.9920525248154985e-05,USA,tt0120669,1998
345,Friday the 13th Part 2 (1981),3.971768163266137e-05,USA,tt0082418,1981
346,Idiocracy (2006),3.9565198566107064e-05,USA,tt0387808,2006
347,Maid in Manhattan (2002),3.954832948620219e-05,USA,tt0252076,2002
348,The Firm (1993),3.9423077146776284e-05,USA,tt0106918,1993
349,CB4 (1993),3.941803175486817e-05,USA,tt0106500,1993
350,Caligola (1979),3.929757944343818e-05,USA,tt0080491,1979
351,Misery (1990),3.927259114849177e-05,USA,tt0100157,1990
352,Basic Instinct (1992),3.9209401827567195e-05,USA,tt0103772,1992
353,The Hangover (2009),3.91303399658194e-05,USA,tt1119646,2009
354,Friday the 13th: A New Beginning (1985),3.9010715157919925e-05,USA,tt0089173,1985
355,They Live (1988),3.900815916801538e-05,USA,tt0096256,1988
356,Cocktail (1988),3.870778785282789e-05,USA,tt0094889,1988
357,Dog Day Afternoon (1975),3.86756819307239e-05,USA,tt0072890,1975
358,The Silence of the Lambs (1991),3.859359422691324e-05,USA,tt0102926,1991
359,My Best Friend's Birthday (1987),3.8412479731553206e-05,USA,tt0359715,1987
360,How to Marry a Millionaire (1953),3.834251445991283e-05,USA,tt0045891,1953
361,It's a Wonderful Life (1946),3.82934759187298e-05,USA,tt0038650,1946
362,Austin Powers in Goldmember (2002),3.821506907314529e-05,USA,tt0295178,2002
363,The Saint Takes Over (1940),3.807038002898416e-05,USA,tt0033013,1940
364,The Frighteners (1996),3.796341140133295e-05,USA,tt0116365,1996
365,Pirates on Horseback (1941),3.78324218545633e-05,USA,tt0034030,1941
366,Starship Troopers (1997),3.781100977682946e-05,USA,tt0120201,1997
367,The Royal Tenenbaums (2001),3.7766037566008224e-05,USA,tt0265666,2001
368,GoldenEye (1995),3.74540305866493e-05,USA,tt0113189,1995
369,Bride of Chucky (1998),3.742086938664147e-05,USA,tt0144120,1998
370,Scary Movie 3 (2003),3.7211886429472644e-05,USA,tt0306047,2003
371,Star Trek: First Contact (1996),3.6931126598991865e-05,USA,tt0117731,1996
372,Butch Cassidy and the Sundance Kid (1969),3.688254993337628e-05,USA,tt0064115,1969
373,Fargo (1996),3.6541031475217826e-05,USA,tt0116282,1996
374,Broadway Melody of 1938 (1937),3.6320984155368736e-05,USA,tt0028665,1937
